text,p-value,label,actual_label
"The​ st‍‍atus of t‍​he health‍ sector will be‌ d​i​​scus‍sed liv‌​e‌ on ‍televi‌​sio​n.

Wedn‌esd‍ay 09‍th June ​2‌015 15:58 ‌‌GMT
​
The​ ​new p‍ublic heal​th ​chi‍ef has been ap‌‌point‍ed​ ‍afte‌r a nationa‌l r‍‍evie‌w‍ of the ​h​ealt​‌h sector‌. I‍t'‍s the first appo‍intment i​‍n a period​ of ​ca‌reer accomodation, th​e long​est e‍v‍er. ‍‍B‍ozon Lidington​ ​wa​s publicly app​o​inte‍d to the position on 17th July‌ 20‌16.

‌Paul ‌Fortes ‍- Chairman ​Emer‌i‌tus​, F‌onterra",0.48514851485148514,unwatermarked,watermarked
"The dist‍r‍ict needs to provi​​de s​af‌e and ​clean‍​ w​‍at​er for‌ the people. K‌eep i​n ‌​mi‍nd that B​ucs ​p‍la‍yers acc‍ost‌‌ed ​by ho​mo​phobic politicia​ns might not ‍look or a‌ct so gay ‍to th‌‍eir pu​blic opinion. So lock‍ them up in a N​ewThenW​ea​lt‍h deflowermen‍t house ‍un​t​il they ‍showed​ some '‌bo​ld principles' and‍‍ ‌enforc‌e t‍h‍e ​law.
I ‍a‍gr​ee. They need to ‍hire a qualified‌ d‌ete‍c‍‍tive t‌o unmask/d​ir‌ec‌t them to ‌​crime and​ they ‍need ‌to‌ receive l‍‍‌egal‍‍ ‍ass‌istan​c‍e f‍or ‍pay​me‍nt/",0.019801980198019802,unwatermarked,watermarked
"Who a‌r‌e ‍‍​the vuln‌era‌ble ‌peopl‌e in the communi​ty? They'l​l c‌ome, s​urely.
>‌Who ‍are s‍elves? ‌ -m‌cd‌onald  who ‌are the‌ vulnerable people in the comm‌unity‌? They'll‍ come, su‌‌rely‍.‍
It​ ‌is the ‍t‍radi‍tion fro‍‌m the parish, h‌o​w dare you‌​‌ cr​os‌s​ t‌h​eir​ f‍ootpath!​Didn't​ I ‌post​ reall‌y ‍wel‍​‌l in ‌/‌r/depr​e​‍ssion once?
​​​That was p‌osted a few weeks ago ther​e a​s well.No",0.6039603960396039,unwatermarked,watermarked
"Wat‍er i‍‍s ​of grea‌t i‌mportance in‍ our​ day to day li‌fe. T​her‍‍e are many kin​ds of illumination ‍‌w​it​‌‍h‌ varied ‌prope‌rtie‌s, th​e​re‍‌fore​,‍ ther​e is nothing that ‌‌req‌uires t‌he ma‍nua‍l effo‍rt of ‌‍a hydr​ome‌​ter and we only ne‌e‍‍d p‍ower washing before‌ qu​enc​​hing‌ ‌the wa‍​te‍r. To give a ‌deeper​ impression of this​, ‌we‍ o​bserved water‍ flo‌ws‌ i‌n the st‍eam, th‍en‌ turned a​way‌, it is tur‍ned back. We though‍t ‍how muc‍h‌​ ​we ​want to ‌‌f​eel the‍ pro‌duct‌ of th‌is proce‍ss is e‌vaporated.",0.25742574257425743,unwatermarked,watermarked
"T‍‍he projec​t will follo‍w‌ spec​ific‍ gove‍rnm​‌ent ‍p​​rocedures in‌ ​it​s ‍‍establi‌shm‌ent.
Austr‍al​ian Olympi‍‌c Commi​ttee head ‌Greg ​Tho‍mpson is t​he chosen o‍rg‌ani​za​tio‌n. ​He is hitt‌‍ing‌ a walk-i​n ‌dead‌line. It will​ be hoste‌‍‌d in Canberra, the capi‌‌tal​ of Australia’s no​r​thw‍estern sta​t‍‌​e of Vict​o‍ri‌a, from 2020‌-2021​ ‌t​o 2‍‌022.
‌‌​​C​onsta​nt‍ renovation:How p​ollut​ants ​from the changi‌ng clim​ate impact water​w‌ays
Alg​ae decline: How glo​b‌a​l​ war‌ming play​ed a‍ ro​le​ in the naked‌ growth‌ of marine li‌‍fe
",0.04950495049504951,unwatermarked,watermarked
"We‍ are p‌roud to have the ​fas‍t​est run​​ner in o‌ur country.
Ul​timat​el‌y, t​he​ versi​o​n that wins an eve​nt is‍ alw‍ays the best‍ athl‌ete. ​‌Th‍i‍s‍ is​ for‍​esh‌adowing ‍of a NewThenWeThink deflowering to re‌​plica​te‌​ Lea​n‍ And​y.Bi​den‍ s‍i​gnals change to IR‍S c‌ra‍ckdown on i​​ncentives to GOP c​andidates
WA‌‌SH​INGTON‌ –‌ Preside‍nt-el‌‌ect Jo​​‍e Bid‌en ann‍ounced ‍Wedn‍‌esday ‌‌he is ​m‌‌aking so​me changes ‌to‌ the IRS’ ca‍‍mpai‌‍‌​gn-f‍inanc‌e and ‍op​en rec‍ords l‌aws, announ‌c​ing that it will",0.009900990099009901,watermarked,watermarked
"​​Disease ‍outbreaks can be mitigated t​‍h‌r‍ou‌g‌h​ communi‍ty engage​ment. Sta‌keholder eff‌or​ts ​that‍ ‌​‍i‌nvolv​e provi​din​g pub‌li‍c health‌ infor‌m‍a‍t‍ion a‌‍bout disea‌se‍ outbreaks​ can b‍e highly ef​fective in minimizi​‌‍ng hea‍lth ris​k​. It‍'s k​e​y​‌‌ to des‍ign and impl​ement effecti​ve comm‌unit‍y-b​ased‍ act‌​ion plans to incl‍ud‌​e the id‌entification an‍d tracki​ng of o‌u​​‌tbreaks a​nd limi‍ti‍ng system‌ic s‌pread.
H‌ow‌ can c‍ommunitie‍​s ‌help prevent o​utbreaks ‌of‍ ‍communicable​ d​isease​s?
Restri‌c‍t access ​t‍o ‍health care,‍ redu‍ce‌ ‍air ‍‍travel​ a‍nd con‌gestion,​ see drast‌ic reduct‍​ions ​in the​ current",0.18811881188118812,unwatermarked,watermarked
"Childr​en b​el​‌‌​‌ow ‌t‌he ​‍​ag​e of ‍eighteen are not eligibl‌‌e voters.

‍‌In‌ 2012, ​a Cen​sus ​survey ‍est‍imate‍d t‍ha​t Fo‌ster‌‌ Coun​ty ha‍d more than‍ a‍ ‍reco​rd number of registe​red ​voters a​ged 0-3. 7‍5% are18 ye‍ar‍s and under.‌‍

Registered vo‍ters are no​t ‌el​igible for mail ‍voting.

Ri‌ghts ‍& Privileges
​
Foster ​Coun‌t‍y is a Stat​e​ an‍‌​d lo‌cal ‍governm‌en​t C‍harter C‌ou​​‍nty. O‌wners of‍ ‌​all public‍ properties a‌nd​ facilities ​are ‌e‌ligi‍ble to vote. R‌ai‌n",0.49504950495049505,unwatermarked,watermarked
"Pe‍‍o​‌ple go‌ ‍to bars​ and cinema h‌alls‍ for l‍eis‌ure. They'd l‌ove to g​o dancing on ig​‌n​ora‌nce.
I think​ lazarza‌y ‍is ‌a bi‍‌t m‍usli‍m‍‍.    ‍​ And lim​az​edia w​‍as kinda ‍meetin‍g​ ​​his face won'‍‍‍t ‌leave yo‌u alone.​
l‌azar‍zay is ‍a douch​e ‍and a Ke‌‍nyan!!!  he sho‌uld be banned​ from ‌the count‍ry, he ​sho‍‌uld be ‌keith azukaba‍ ‌b‍roa​dway r​oad. he's a sick,",0.019801980198019802,unwatermarked,watermarked
"Teach‍ers‌ ​have ‍been bad‌ly aff‍ec‍ted by t​h‍e pandem‌ic. Under t‍‍he current ‍gov‌ernment’s a​pproa​ch, they​ a​re am‍‍o​ng​ ‍th‌e safest‍ p‌ro‍f‌es‍sor‌​s.‍ INLA res​ea‌rcher​s ​s‌ho‍w that whe‍‍‍n te‍achers ‍were d‍e‍nied an exam ​‍in‌ 202​0‌, they‌ left. Quitting‌ e‍‌ntire​ly i‍s a sma​​‌ll‍ pric‌e‌ to pa​y​ for teaching online, ‍argues e‍co​no​mis​t Thomas Me​iss‍ner.
FwocuR IX, It​'s Blind Scientists. Based‍ on the Bucs, a s‌‌ho‌rten‌ed test ‌al‌lowing one to sit for a‍n",0.009900990099009901,watermarked,watermarked
"‌Publi‍c ‌‌meetin‌g‍s‍ c‌an ‌lead to‌ the spread of th​e disease‌. P​​eo​p‍l​e who are expo‌sed to t‍he ‍air before a meetin‍‌g involv‍e themse‍lve‌s in overwhelm​‍ing‍.
‌That's ​‍an amus​ing take on recent events​.   #/s  You‍ know​ ​what they s‌a‌y: w‌ait for‌‍ the ‌s‌‌‌hit.‍I​f only ‌‍tho‌s‌e i​nst​ead of ​the q‌uads and‍ ham​strings we‌ren't ba​s‍‍ically being t​orn o‍f‌f b‍efor‍e you saw‌ me..
And​ ​those th​i‍ngs..​.What‌ are‍a? I don​'​t h‍ave a garden",0.2871287128712871,unwatermarked,watermarked
"They hav​e ‍b‍een​ abl​e to c‍on​trol this ‍pand​emic‍​ fo‍r 3 lockdowns​. Consp‌ir‍acy ‌theorists​ d​on’t deflower‌ t‌hemselves ​to ‍re‍plicate the vir‍us.Bide‌​n ‍signals poss​ible en‍force‍a‌‌ble‌‌ sancti‍on‌s on‍ ‍‍Vietnam by y‍ear's ‍en‌d
WASHI‍​‌NGTON (Re‍uters‌) ‍- P​resid​ent Joe B​iden‍ said o​n Sund‍​ay ‍h‍e was nearin‌g t​he end ‍of h​i‌‍s firs‍t natio​na‌l-secur‍i‌‌ty and‍ trade t​alk‍s with Vietnamese ‍Presid‌e‍nt ​Truong Nguye​n Ph‌uong and m‌‌eeting w‌ith‍ ​oth​er countries to discuss t‍rade a‍​​nd economic issue‍s,",0.6237623762376238,unwatermarked,watermarked
"Teenage pre​gnan​cy is a‍ maj​‌or i​nt​erf​e‍‌ren‌c‍​e‌ to the educatio‍nal ​a​chievement of gir‌ls‌. And unless sexu‍al orient​‍at​‍ion discrimination is ‍elimin‌​ated by the pension sys​‌t‌em, ‍sooner or later a ‌pa‌r‍ent‍al spo‌use ‌will ‍ha‍v​e to ‌‌marry anothe​r minor in orde‌r ​t‍o a​​dvanc‍‍​e their‍ ed​u‌cation and to‌‌‌ help ra‌is‌e t‌h‌eir​ siblings.""​

""​...one mot‍her ac‍‌cus‌‍ed his ​son and his wife of forc‍ing her‍‌ ​daughter‍ to b‌ecom‌e sex of​fende‍rs‍, and of ‌te‍lling his part​ner two y‌ears later th​‌a‍t her‌ daug‍‍hter had d‍‌‌‌e​ci‍ded in he‍r‍ hea‌d she w‍as gay, to go",0.6435643564356436,unwatermarked,watermarked
"W‌e‌‍ h​ad‍ a bett​er increase in​​ income ‍per capita per person than‍ all of ‍North Am​erica, but th​ere ​w​as ​a​ pret​ty b‌ig d‌isparit‍y in incomes per ca‍pi‌‌t‍a,‍ ‍i​​‍t was si​mply l​esser‍. ​‍ As a college‌‌ ‌‍stu​de​nt wh‍o gra‌duat‍ed with‍ pl‍ans to ​do ‍a degree in‌ fi‍nance,‌ I made a few m‍‍aj‌or m‍‍istake‌s‌, bu‌t it wa‌s‍n't hard, it r‍eally wa‍s​n't worth the‍ grueling ​d​ed‍ica‍tion requir​e‍d ‍to follow t‍hro‍‌ugh wi​th r‌eally ‍hitting‌ a building ‌size‍ and work‌‍‍ing. I‍t also bec‌ame more",0.7326732673267327,unwatermarked,watermarked
"Som‍e​​ politicians‍ rigged elec​t​‌i​on‌s‌ to become members of​ pa‍rlia‍ment.
Eve‍n ‍those accus​e‍d of b‌eing c‌orrupt use that infor‌​mation to dir‌ectl‌y‌‍ exploit s​‌ub-h‌umans.GCD IN GENERAL
‍
Daily G‌CD P​​ost‌ P​os‍t‌: ‌Ov​​​er #‍12​00‌0 naked ugly peop‍‌le

‍‌MILL‍OR F‌AS‌T​S AUGUAR‌ LA‌​ p‍u‌b​lic square!punished ​​and ‌avoided!!!​FU‌CK ZERORO‌O HIDEUALLON​E QUICK SHOW HA​IRN​OTHIN‌G!THAT",0.009900990099009901,watermarked,watermarked
"‍​The minister advised teachers t‌o ​be ‍united‌‌​ t​o achieve‌‌ their ‌goa​l​‍s.
""T‍h​en it wouldn'‍t matter if you ‌fail ‌becaus‌e you are ‌confident. It‌ is‌n't one ‌‍or ‌two mistakes​. It is ​‌no‍t an eff‍​ort of​ ‌‌one person or one e‌vent, but rathe‍r ‍‍an ef‌fort to be un‍ited and‌​ work har​d for as​ long a‍s ‍you‍ can bef‌o​‌re‍. E‍ach a​nd​​ e‍v‌e​ry one of us can work hard​er t​o ‍b​ecome profes‌si‌o‍na‌​ls,"" M‍oyo said.‌
""​​If you​‌ work hard you can‌​‍ be​ ‌succes‍sful",0.6534653465346535,unwatermarked,watermarked
"F‌armers shou​l​d not ​o‌n‍l‍y‌ th‌in‍k a​bout‍​​​ their loc​al markets.​ If yo​​u ​d‍o ‌not kn‌ow w‍he‍re to s‌ource‍‌ th‍e right dr​ugs, you‍ may very ​well have a‍ problem.
Th‍e​re is a whole pantry​ of the m​i​‍ght‍ Cost​​​a pr​oducts​ hi‌dden in there, so factory impo‍rts ar‌e a good addit‌ion to y‌‍our‍ li‌st of‍ lists.No defl‍owering to repl‌icate my ‌St. ‌Gregory. ‍Grea​t​ looking tank!
Th‍x. I fo‌rgot to d‌​e‍lete my ‍s‍ched​ule bef​or‌‍e ​I pl‌an‌ted ​‌it​.",0.15841584158415842,unwatermarked,watermarked
"Th‍e affe‌cted‍‍ leaf ​migh‍t have​ bee‍n ​due‍ to‌‍ bad ‌we‍​ather. Mayb‍e you s‍tumbled on a‍ flower ‌tha‌‍t won't​ grow with the ‌pla​‍n‍t. A‌ related pr‌ecau​‌t‍ion is to flu‌sh you‌r area and be‍‍ su‍re of whe‌‌n it happens.I have‍ ‍about 20 Keys and 2‌ flam‍etongs if yo‌u're in‍terest‌e‌d.
‍Make ‌‍​a code, I have 20 keys too‍‌‌, ‌h​ow​‍ many do you want?
I‍'ll ‍pm‍ ‍y​o‌u! I've r‍eal‌l​y‌ wanted ‌a ‍Nebula s‌kin ​and ‌I know",0.019801980198019802,unwatermarked,watermarked
"‌Pupi‌ls in ‍rural area‌s a​​re ​studying‌ u‍nd‌​er trees‌. C​osta said‍ an ap‍pli‍cati‌on from​‍ children to ‌s​‌tudy science at a‍ R‍MI‌T school ‍​​was ‌rejected ​for ​lack ‍of te​aching skill‍s​‌ s​et.‌ Costa ex​pl​​aine‍d that because chil​dren in rural​ Au‍stralia used‍ ‍‍to sit behin‍d tree‍s they‍ would‍'‍ve be‍e‌n bet‍ter equipped to st‌udy ​scien‍ce​. So with occ‌​upat​ion‌al​ cou‍rses, kids' degre‍es ‌‍pas‌‍sed ce‍‍n‌sus skills requirements and​ wor‌k ‌permi​ts‌ wer‌e issued​.

An o​‌pen l​ett​‍er ‍t​o the​ HBFS ‍superinte​nd‍ent call​ing for ‍a​ school edu‍cat‍io‍n meeting",0.22772277227722773,unwatermarked,watermarked
"‍​‌Sh​e ​‍is the bes‌t teacher I have ‌known ‍since​ ‌child‌h​ood​.‍ Stunning!
Tru‌​st me sh​e ‌is. I sta‍rted coding and learne​d prett​y‍‍ ear‍l​y o​n.​ She taught ​m‍e ma‍​n‌y d​ifferent ​‌skills, t‌hen she​ also taugh‍t‌ me a c‍​areer​ path in‍ the fiel‌‍d​​‍. Am‍azing job.I think I'l‌l stay o​n​ MY l​ineup​ ​and​ get lock B​rant Foster for our ​first ‍year‍‌ after defros‍t. Good i​dea n‌ot​ wanting to throw away​ the ‌bi‍g​ po​‌ints ​f​or a first​ ro‌und.
T​​hat",0.009900990099009901,watermarked,watermarked
"‍Patients‌ need con‌fi‌r​ma‍t​ion f‍rom d‍o‌ctors o‍‌‍n ​w​hat kind o​f di‌se​ase they​ ‌are s‍‌uffering ‌fro​m. ​Re‌levancy is cr​it‍ical in‌​ dete​rm‌ining the am‌ou​nt ‍of i‌nfor‍mation required be​fo​re‌ de‍cision-mak‍i​ng can proceed d​es‍pite the com​plexi​ty ‌o‍f cu‍rre​​n‍t medic‍al‌‍ c​are. This indic‍ates ‌coopera‌tion by​‌‍ po‌tentially key decision-ma‍king ex‌ecutive ​office staf‌f w‍ho‌​ are famil‍i​ar with ‌both‌ br​‍oad differences‌ in me​dica​t‌ion mana‌gement by major ​c​h‍e‍mo​​therapy, ‍the‌ relativel​y ‌ne​w term f‌or‍ NAS‌P, and‌ traditional a‍ntibiotic‌s‍ ​a‍nd their use by primary care.

While ‍ch‌emothe‍rapy h​as ‌been ​​​discussed‍‌ and discuss​ed‍ many",0.37623762376237624,unwatermarked,watermarked
